Date,Max_Temp_F,Avg_Temp_F,Min_Temp_F,Max_Humidity_,Avg_Humidity_,Min_Humidity_,Max_Wind_Speed_mph,Avg_Wind_Speed_mph,Min_Wind_Speed_mph,Max_Pressure_in,Avg_Pressure_in,Min_Pressure_in,PM25_ugm3,CO2_ppm,yn,City,Climate,NOx_ppb,dryness_index ,dispersion_ratio,PressureAnomaly1,pm2.5 difference
10/1/2017,85,67,51,68,39.7,16,12,7.2,0,29.8,29.7,29.6,4.8,0.3,0,Santa Rosa,BSk,8.6,40.4,98.6,-0.2,0
10/2/2017,81,66.4,55,59,31.5,9,16,9.3,5,29.7,29.6,29.6,7.2,0.3,0,Santa Rosa,BSk,14.4,45.5,114.9,-0.3,-2.4
10/3/2017,82,61.1,41,86,44.7,11,15,5,0,29.8,29.7,29.6,5.7,0.3,0,Santa Rosa,BSk,16.6,33.8,167.6,-0.2,1.5
10/4/2017,80,58.4,40,85,50.8,15,8,2.8,0,29.9,29.9,29.8,5.2,0.3,0,Santa Rosa,BSk,15.7,28.7,269.0,0,0.5
10/5/2017,84,59.4,40,89,51.3,12,12,2.3,0,29.9,29.8,29.8,4.4,0.4,0,Santa Rosa,BSk,14.8,28.9,275.0,-0.1,0.8
10/6/2017,90,63.4,42,82,45.7,9,14,3.7,0,29.9,29.8,29.8,5,0.5,0,Santa Rosa,BSk,14.4,34.4,197.4,-0.1,-0.6
10/7/2017,88,62.9,42,85,53.6,16,10,2.9,0,29.8,29.7,29.6,7.7,0.4,0,Santa Rosa,BSk,12.4,29.2,385.0,-0.2,-2.7
10/8/2017,88,69,49,80,34.5,4,21,11.3,3,29.7,29.6,29.6,4.4,0.4,1,Santa Rosa,BSk,7.7,45.2,57.9,-0.3,3.3
10/9/2017,71,27.8,0,18,5.3,0,24,6.2,0,29.8,29.7,29.6,56.7,1.1,1,Santa Rosa,BSk,22.4,26.3,1350.0,-0.2,-52.3
10/10/2017,68,20.7,0,86,25.6,0,12,5.1,0,29.8,29.7,29.7,81.8,1.6,1,Santa Rosa,BSk,13.6,15.4,2359.6,-0.2,-25.1
10/11/2017,75,52.4,37,100,65.6,12,18,5.8,0,29.9,29.8,29.7,25.7,0.5,1,Santa Rosa,BSk,9.5,18.0,653.4,-0.1,56.1
10/12/2017,76,58.6,41,74,43.3,13,10,5.8,0,29.9,29.9,29.9,19.6,0.5,1,Santa Rosa,BSk,22.6,33.2,498.3,0,6.1
10/13/2017,76,59.3,39,89,50.1,19,8,3.8,0,30,29.9,29.9,33.5,0.7,1,Santa Rosa,BSk,22.3,29.6,1288.5,0,-13.9
10/14/2017,82,59.9,43,86,49.4,10,8,4,0,30,29.9,29.9,18.4,0.5,1,Santa Rosa,BSk,20,30.3,673.2,0,15.1
10/15/2017,85,60.2,37,89,46.4,13,7,2.1,0,30,29.9,29.9,19.5,0.6,1,Santa Rosa,BSk,29.2,32.3,1329.5,0,-1.1
10/16/2017,88,63.5,43,74,41.9,12,7,2.2,0,30,29.9,29.9,49.8,1,1,Santa Rosa,BSk,26.9,36.9,3247.8,0,-30.3
10/17/2017,85,58.3,45,93,54.3,13,9,3.5,0,29.9,29.9,29.9,19.6,0.7,1,Santa Rosa,BSk,19.8,26.6,816.7,0,30.2
10/18/2017,73,49.3,41,100,86.3,34,13,3.4,0,29.9,29.9,29.8,6.7,0.4,1,Santa Rosa,BSk,9.7,6.8,287.1,0,12.9
10/19/2017,63,55.9,49,100,89.4,70,16,5.7,0,29.8,29.8,29.6,3.3,0.3,1,Santa Rosa,BSk,6.3,5.9,85.3,-0.1,3.4
10/20/2017,63,50.9,42,100,84.8,52,12,5.1,0,30,29.9,29.7,3.5,0.4,1,Santa Rosa,BSk,14.8,7.7,101.0,0,-0.2
10/21/2017,72,54,38,100,76.4,38,12,3.2,0,30.1,30.1,30,4.4,0.4,1,Santa Rosa,BSk,14,12.7,200.0,0.2,-0.9
